game_series,game,task_category,task
deja_vu,deja_vu_1,Interact,open the cabinet
deja_vu,deja_vu_1,Navigation,exit grimy office
deja_vu,deja_vu_1,Interact,open the wall safe
deja_vu,deja_vu_1,Interact,open the trunk of the car
deja_vu,deja_vu_2,Interact,open the trench coat pocket
deja_vu,deja_vu_2,Interact,open the bathroom door
deja_vu,deja_vu_2,Take,take gum from trench coat
deja_vu,deja_vu_2,Interact,open the pants pocket
deja_vu,deja_vu_2,Take,take the pants
deja_vu,deja_vu_2,Interact,close the pants pocket
deja_vu,deja_vu_2,Use,put on the trench coat
deja_vu,deja_vu_2,Use,put on the pants
deja_vu,deja_vu_2,Interact,open wallet1
deja_vu,deja_vu_2,Take,take newsclip1
deja_vu,deja_vu_2,Take,take license1
deja_vu,deja_vu_2,Interact,close wallet1
deja_vu,deja_vu_2,Inspect,check the newsclip1
deja_vu,deja_vu_2,Take,take the ring1
deja_vu,deja_vu_2,Interact,open the door from map
deja_vu,deja_vu_2,Interact,close the door from map
deja_vu,deja_vu_2,Navigation,enter the hallway
deja_vu,deja_vu_2,Interact,buy 2 chips
deja_vu,deja_vu_2,Navigation,return to  cashier
deja_vu,deja_vu_2,Interact,cash out
deja_vu,deja_vu_2,Interact,open the door of lobby
deja_vu,deja_vu_2,Navigation,exit the casino
deja_vu,deja_vu_2,Interact,talk in train station
deja_vu,deja_vu_2,Navigation,visit counter
deja_vu,deja_vu_2,Inspect,check the timetable
deja_vu,deja_vu_2,Navigation,enter the platform on track6
deja_vu,deja_vu_2,Navigation,enter the train
deja_vu,deja_vu_2,Interact,buy a train ticket
deja_vu,deja_vu_2,Inspect,check the girl in the train
deja_vu,deja_vu_2,Inspect,check the sign
deja_vu,deja_vu_2,Interact,chat with newspaper seller
deja_vu,deja_vu_2,Interact,buy newspaper
deja_vu,deja_vu_2,Take,take newsclip4
deja_vu,deja_vu_2,Navigation,enter the taxi
deja_vu,deja_vu_2,Interact,chat with taxi driver
deja_vu,deja_vu_2,Navigation,enter the room in the middle
deja_vu,deja_vu_2,Interact,load the gun
deja_vu,deja_vu_2,Interact,open the lock
deja_vu,deja_vu_2,Combat,hit the board  at fire escape
deja_vu,deja_vu_2,Interact,open the telephone
deja_vu,deja_vu_2,Interact,open the box at the alleway behind joe
deja_vu,deja_vu_2,Interact,open the pocket knife
deja_vu,deja_vu_2,Combat,use the knife to open the door
deja_vu,deja_vu_2,Interact,put on flashlight
deja_vu,deja_vu_2,Navigation,enter the Joe's place
deja_vu,deja_vu_2,Interact,open the lock of slot
deja_vu,deja_vu_2,Interact,turn of the flashlight
deja_vu,deja_vu_2,Inspect,read the card and get the location in it
deja_vu,deja_vu_2,Interact,open the bag in vacuum with knife
deja_vu,deja_vu_2,Interact,ask the clerk about the nametag2
legend_of_zelda,legend_of_zelda_links_awakening,navigation,The character is stuck behind the bed inside the initial spawning room and it has to get out of that room
legend_of_zelda,legend_of_zelda_links_awakening,interaction,talk to tarin inside the spawn house to get the shield
legend_of_zelda,legend_of_zelda_links_awakening,interaction,pick up the sword from the shore
legend_of_zelda,legend_of_zelda_links_awakening,interaction,open inventory by pressing enter
legend_of_zelda,legend_of_zelda_links_awakening,inventory,open inventory by pressing enter and remove sword
legend_of_zelda,legend_of_zelda_links_awakening,inventory,equip the sword
legend_of_zelda,legend_of_zelda_links_awakening,interaction,talk to kids outside the library
legend_of_zelda,legend_of_zelda_links_awakening,interaction,talk to the statue
legend_of_zelda,legend_of_zelda_links_awakening,navigation,read the sign board
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go inside the shop
legend_of_zelda,legend_of_zelda_links_awakening,interaction,make a call
legend_of_zelda,legend_of_zelda_links_awakening,navigation + interaction,go inside the dark forest by chopping bushes
legend_of_zelda,legend_of_zelda_links_awakening,navigation + interaction,go inside the tunnel
legend_of_zelda,legend_of_zelda_links_awakening,navigation + interaction,in dark forest and kill all the bats to acquire money from the chest
legend_of_zelda,legend_of_zelda_links_awakening,navigation,take the heart
legend_of_zelda,legend_of_zelda_links_awakening,navigation,take the shroom
legend_of_zelda,legend_of_zelda_links_awakening,inventory,swap shroom with sword
legend_of_zelda,legend_of_zelda_links_awakening,inventory,swap shroom with shield
legend_of_zelda,legend_of_zelda_links_awakening,interaction,make another call from the chest shop
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go inside the skeleton house
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go underground
legend_of_zelda,legend_of_zelda_links_awakening,interaction,talk to diamond kid
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go inside the 2 door house
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go inside the pot room
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go near sign
legend_of_zelda,legend_of_zelda_links_awakening,inventory,go in the water
legend_of_zelda,legend_of_zelda_links_awakening,navigation + interaction,go and see the pond
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go inside the weird tunnel
legend_of_zelda,legend_of_zelda_links_awakening,interaction,talk to witch
legend_of_zelda,legend_of_zelda_links_awakening,navigation,keep going right until the screen changes completely
legend_of_zelda,legend_of_zelda_links_awakening,navigaton,go near calling booth
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go left to see the grandma then cross the boundary and go to the well
legend_of_zelda,legend_of_zelda_links_awakening,navigation,get off the carpet
legend_of_zelda,legend_of_zelda_links_awakening,navigation,get off the track
legend_of_zelda,legend_of_zelda_links_awakening,navigation,leave the house
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go up and take a right from the chicken house to see overgrown grass
legend_of_zelda,legend_of_zelda_links_awakening,navigation,go left see the blue house and then go up to the fan house
legend_of_zelda,legend_of_zelda_links_awakening,navigation,climb the stairs
legend_of_zelda,legend_of_zelda_links_awakening,interaction,push the heavy stone
legend_of_zelda,legend_of_zelda_links_awakening,navigation,finish dialogue
legend_of_zelda,legend_of_zelda_links_awakening,navigation,head to the grass
legend_of_zelda,legend_of_zelda_links_awakening,navigation,head to the grass 2
legend_of_zelda,legend_of_zelda_links_awakening,navigation,keep going right then go down near the signboard
legend_of_zelda,legend_of_zelda_links_awakening,interaction,finish dialogue
legend_of_zelda,legend_of_zelda_links_awakening,navigation,jump
legend_of_zelda,legend_of_zelda_links_awakening,navigation,jump2
legend_of_zelda,legend_of_zelda_links_awakening,navigation,stay there and get hurt by the monster
legend_of_zelda,legend_of_zelda_links_awakening,navigation,keep going down until you see the chicken
legend_of_zelda,legend_of_zelda_links_awakening,navigation,visit the signboard and then go up
legend_of_zelda,legend_of_zelda_links_awakening,navigation + interaction,read sign board near the potholes
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go near the crowd
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,talk to the girl after start
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,jump from flowers
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,talk to farmer
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go inside the library
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation + interaction,go inside the library and talk to parrot
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,fall from the bridge
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,hang out and watch the water
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,read the signboard outside horror villlage
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go inside the shop
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation + interaction,talk to the shop person
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go to the girl house
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation + interaction,go to the girl house and move pots
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go inside the old man's tunnel
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,talk to the artist
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go to the chicken house
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,traverse the jiggly path
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,talk to the fairy
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,open the gate by interacting with the block and then get in the top gate
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,inventory,open inventory
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,read signboard outside clock tower
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,climb stairs
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation + interaction,go to girl's house and talk to her
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go see the ginger root at the platform
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go to the pier
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,visit cat
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,say meow
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,talk to owner
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,walk the bridge
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go see the dog
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go left and see the dog
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,step off the grass
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,avoid the building and see the shop
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go up inside the clock tower and see the clocks then get out and visit mickey on the left
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go right to see the arcade
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go inside joystick house
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go near red snake
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go near blue snake
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,red snake talk
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,blue snake talk
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,go read the blue book
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,go read the red book
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go to the lava floor
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go off track then go down
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go left into the gloomy place
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,interaction,stay still and get hurt
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,get off green carpet
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go up to see the trunk and then take the path to the right of the trunk
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go down near holes
legend_of_zelda,legend_of_zelda_the_oracle_of_seasons,navigation,go left to see the bush near the bridge
pokemon,pokemon_red,navigation,Enter the Pokemon Center
pokemon,pokemon_red,navigation,Exit the cave using the exit on the bottom right
pokemon,pokemon_red,interaction,Speak to Bill
pokemon,pokemon_red,interaction,Pick up the item
pokemon,pokemon_red,"navigation, interaction",Read the sign below you
pokemon,pokemon_red,"navigation, interaction",Speak to the aide inside the gym
pokemon,pokemon_red,combat,Defeat Gym Leader Brock
pokemon,pokemon_red,combat,Defeat Trainer Lass
pokemon,pokemon_red,"catch_pokemon, combat",Catch Pidgey
pokemon,pokemon_red,"catch_pokemon, combat",Catch Pikachu
pokemon,pokemon_red,menu,Open the Map
pokemon,pokemon_red,menu,Use a Potion on Charmander
pokemon,pokemon_red,"navigation, menu, interaction",Buy a Potion
pokemon,pokemon_red,combat,Use a not very effective attack on seaking
pokemon,pokemon_red,interaction,Try to purchase a bike
pokemon,pokemon_red,interaction,Discover the secret of the volcanobadge
pokemon,pokemon_red,interaction,Open the map on the wall
pokemon,pokemon_red,combat,Defeat Blue
pokemon,pokemon_red,interaction,Click a secret switch
pokemon,pokemon_red,"navigation, menu",Get onto the water
pokemon,pokemon_red,"navigation, menu, interaction",Sell exactly 1 Psychic TM
pokemon,pokemon_red,navigation,Encounter a ghost
pokemon,pokemon_red,interaction,Get Mew's nickname rated
pokemon,pokemon_red,interaction,Read the letter
pokemon,pokemon_red,interaction,Challenge the Elite Four
pokemon,pokemon_red,"menu, interaction",Use the Super Rod properly
pokemon,pokemon_red,interaction,Look into the binoculars above
pokemon,pokemon_red,interaction,Speak to Pikachu
pokemon,pokemon_red,navigation,Exit the building
pokemon,pokemon_red,navigation,Go through the backdoor of the house that was robbed
pokemon,pokemon_red,"menu, interaction",Leave Mewtwo in daycare
pokemon,pokemon_red,interaction,Read about Saffron City
pokemon,pokemon_red,interaction,Play the game above
pokemon,pokemon_red,"menu, interaction",Toss an Ultra Ball
pokemon,pokemon_red,navigation,Exit Seafoam Islands
pokemon,pokemon_red,"navigation, menu",Get to Pallet Town without using Surf
pokemon,pokemon_red,"menu, interaction",Withdraw Staryu from the box
pokemon,pokemon_red,"navigation, interaction",Read the sign
pokemon,pokemon_red,"combat, menu",Poison Pidgeotto
pokemon,pokemon_red,"combat, menu",Switch to your weakest Pokemon
pokemon,pokemon_red,"catch_pokemon, combat",Catch Pidgey
pokemon,pokemon_red,"catch_pokemon, combat",Catch a Goldeen
pokemon,pokemon_red,menu,Try to teach Staryu Toxic
pokemon,pokemon_red,"menu, interaction",Play the PokeFlute
pokemon,pokemon_red,menu,Open Squirtle's Pokedex page
pokemon,pokemon_red,menu,Open Blastoise's status page
pokemon,pokemon_red,menu,Open Charizard's move list
pokemon,pokemon_red,interaction,Speak to the gym leader
pokemon,pokemon_red,navigation,Reach the gym leader
pokemon,pokemon_crystal,navigation,Enter the Cherrygrove Pokemon Center
pokemon,pokemon_crystal,interaction,Watch TV
pokemon,pokemon_crystal,interaction,Look into the mirror
pokemon,pokemon_crystal,interaction,Talk to the child
pokemon,pokemon_crystal,interaction,Obtain a berry
pokemon,pokemon_crystal,interaction,Take Dragonair's item back
pokemon,pokemon_crystal,"menu, interaction",Make Pidgeot hold a Cleanse Tag
pokemon,pokemon_crystal,menu,Open Typhlosion's Pokedex entry
pokemon,pokemon_crystal,navigation,Exit the cave
pokemon,pokemon_crystal,interaction,Fish until you catch a Pokemon
pokemon,pokemon_crystal,interaction,Read Elm's computer
pokemon,pokemon_crystal,interaction,Talk to Prof. Elm's aide
pokemon,pokemon_crystal,"navigation, interaction",Immediately escape the tower
pokemon,pokemon_crystal,interaction,Talk to the gym leader ahead
pokemon,pokemon_crystal,"navigation, menu, interaction",Buy one Antidote
pokemon,pokemon_crystal,"navigation, menu, interaction",Sell one Revive
pokemon,pokemon_crystal,"menu, interaction",Teach Pidgeot Toxic
pokemon,pokemon_crystal,interaction,Get the boy's phone number
pokemon,pokemon_crystal,interaction,Interact with a tree that can be cut
pokemon,pokemon_crystal,interaction,Pick up the item
pokemon,pokemon_crystal,interaction,Read the book
pokemon,pokemon_crystal,interaction,Speak to the gym leader ahead
pokemon,pokemon_crystal,navigation,Enter the burned tower
pokemon,pokemon_crystal,interaction,Refuse to give the Miltank a berry
pokemon,pokemon_crystal,interaction,Get a fishing rod
pokemon,pokemon_crystal,navigation,Enter the lighthouse
pokemon,pokemon_crystal,interaction,Talk to the red haired girl
pokemon,pokemon_crystal,"menu, interaction",Make Pidgeot forget Gust
pokemon,pokemon_crystal,navigation,Exit via the ice path below
pokemon,pokemon_crystal,navigation,Reach the other side of the ice maze
pokemon,pokemon_crystal,combat,Defeat Golbat with a super effective attack
pokemon,pokemon_crystal,"catch_pokemon, combat",Catch Delibird
pokemon,pokemon_crystal,navigation,Encounter a Tangela
pokemon,pokemon_crystal,interaction,Talk to a Slowpoke
pokemon,pokemon_crystal,interaction,Get some charcoal from the kiln
pokemon,pokemon_crystal,interaction,Speak to the gym leader
pokemon,pokemon_crystal,interaction,Get a Fast Ball from Kurt
pokemon,pokemon_crystal,"menu, interaction",Commission Kurt to make a Poke Ball for you
pokemon,pokemon_crystal,"menu, navigation",Try to fly out of the forest
pokemon,pokemon_crystal,"menu, interaction",Headbutt a tree
pokemon,pokemon_crystal,menu,Take a picture of Suicune
pokemon,pokemon_crystal,"menu, navigation",Surf onto the water
pokemon,pokemon_crystal,interaction,Visit the Poke Seer and ask her about Alakazam
pokemon,pokemon_crystal,"menu, interaction",Open your mailbox through the PC
pokemon,pokemon_crystal,"menu, interaction",Call your mom
pokemon,pokemon_crystal,"catch_pokemon, combat",Catch Ponyta
pokemon,pokemon_crystal,"menu, interaction",Light up Silver Cave
pokemon,pokemon_crystal,interaction,Get an explanation for the Battle Tower
pokemon,pokemon_crystal,combat,Defeat Will
pokemon,pokemon_crystal,combat,Defeat Koga
sword_of_hope,sword_of_hope_1,navigation,Reach the first adjacent room from the start state
sword_of_hope,sword_of_hope_1,navigation,Navigate from the Old Man's Room to the Shaman's House
sword_of_hope,sword_of_hope_1,dialogue,Clear the active dialogue box and return control to the player
sword_of_hope,sword_of_hope_1,combat,Finish a battle encounter without a game over
sword_of_hope,sword_of_hope_1,interaction,Look at an object in the environment to discover a hidden item
sword_of_hope,sword_of_hope_1,"menu, interaction",Buy equipment or supplies from a shop
sword_of_hope,sword_of_hope_1,"navigation, progression",From default reach a stable overworld position with no open dialogue or menu
sword_of_hope,sword_of_hope_1,interaction,Talk to an NPC or interactable and advance one full dialogue page
sword_of_hope,sword_of_hope_1,menu,Open the command menu and close it to return to exploration
sword_of_hope,sword_of_hope_1,"combat, menu",During battle choose a non-default command such as item spell or defend
sword_of_hope,sword_of_hope_1,menu,Cast Teleport to return to a previously visited location
sword_of_hope,sword_of_hope_1,interaction,Talk to an NPC multiple times to trigger a progression event
sword_of_hope,sword_of_hope_1,dialogue,Make a binary dialogue choice that affects the outcome
sword_of_hope,sword_of_hope_1,interaction,Look at surroundings to reveal a previously hidden path
sword_of_hope,sword_of_hope_1,combat,Defeat a boss using offensive magic spells (Treant with Firebal2)
sword_of_hope,sword_of_hope_1,interaction,Open a chest / collect a quest item (Scroll of Grace from backroom)
sword_of_hope,sword_of_hope_1,"menu, interaction",Use a key or quest item to unlock passage to a new area
sword_of_hope,sword_of_hope_1,menu,Cast a quest spell at a specific location to trigger a story event (Grace at Martel altar -> Charm)
sword_of_hope,sword_of_hope_1,menu,Cast Teleport to return to a previously visited location (full completion - arrival)
sword_of_hope,sword_of_hope_1,"combat, menu",Escape from a battle using the Escape command
sword_of_hope,sword_of_hope_1,"menu, interaction",Open the shop buy menu (shorter scope than purchase)
sword_of_hope,sword_of_hope_1,"menu, navigation",Select the LOOK command in the command grid
sword_of_hope,sword_of_hope_1,menu,Open the command menu from exploration
sword_of_hope,sword_of_hope_1,menu,Open the Magic spell list from the overworld
sword_of_hope,sword_of_hope_1,interaction,Initiate an NPC dialogue (shorter scope than advancing)
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor onto LOOK in command grid
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor onto OPEN in command grid
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor onto USE in command grid
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor onto MAGIC in command grid
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor onto HIT in command grid
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor onto POWER in command grid
sword_of_hope,sword_of_hope_1,"menu, navigation",Cycle cursor through all 6 commands in order (LOOK->OPEN->USE->MAGIC->HIT->POWER)
sword_of_hope,sword_of_hope_1,"menu, interaction",Open Power stats menu to first stats page (HP/MP/etc)
sword_of_hope,sword_of_hope_1,"combat, menu",Navigate cursor to AUTO command in battle row
sword_of_hope,sword_of_hope_1,"menu, reasoning",Open Magic submenu and back out without casting (menu-cancel reasoning)
sword_of_hope,sword_of_hope_1,"menu, reasoning",Open Power menu first stats page and close back to exploration
sword_of_hope,sword_of_hope_1,"menu, reasoning",Open Teleport destination list and cancel back to exploration
sword_of_hope,sword_of_hope_1,"menu, reasoning",Open shop buy menu and exit without purchasing
sword_of_hope,sword_of_hope_1,"menu, reasoning",Look at target options and back out without choosing
sword_of_hope,sword_of_hope_1,"combat, reasoning",Open battle Magic submenu and cancel back to battle command
sword_of_hope,sword_of_hope_1,"menu, navigation",Cycle cursor all the way around back to LOOK via POWER (wrap-around)
sword_of_hope,sword_of_hope_1,"menu, navigation",Navigate cursor to POWER via MAGIC (lower-row constrained path)
sword_of_hope,sword_of_hope_1,"combat, menu",In battle Magic submenu cursor on Firebal spell specifically (battle-only spell)
sword_of_hope,sword_of_hope_1,"combat, menu",In battle Magic submenu cursor on Firebal2 spell specifically (battle-only spell)
sword_of_hope,sword_of_hope_1,"combat, menu",In battle Magic submenu cursor on Stripall debuff spell specifically
sword_of_hope,sword_of_hope_1,"combat, reasoning",In battle Magic submenu navigate cursor to Stripall then back out without casting
sword_of_hope,sword_of_hope_1,"menu, interaction",In Teleport destination list cursor on Old Man's House specifically
sword_of_hope,sword_of_hope_1,"menu, interaction",In Use submenu cursor on Herb inventory item specifically
sword_of_hope,sword_of_hope_1,"menu, interaction",In Use submenu cursor on Key M inventory item specifically
sword_of_hope,sword_of_hope_1,"menu, navigation, reasoning",View Power stats last page then Teleport to Old Man's House (3-subgoal composite)
sword_of_hope,sword_of_hope_2,dialogue,Clear the active dialogue box and return control to the player
sword_of_hope,sword_of_hope_2,interaction,Talk to an NPC or interactable and advance one full dialogue page
sword_of_hope,sword_of_hope_2,menu,Open the command menu and close it to return to exploration
sword_of_hope,sword_of_hope_2,navigation,Reach the first adjacent room from the start state
sword_of_hope,sword_of_hope_2,"navigation, progression",From default reach a stable overworld position with no open dialogue or menu
sword_of_hope,sword_of_hope_2,combat,Finish a battle encounter without a game over
sword_of_hope,sword_of_hope_2,"combat, menu",Escape from a battle using the Flee command
sword_of_hope,sword_of_hope_2,"menu, interaction",Open a shop's buy menu
sword_of_hope,sword_of_hope_2,"menu, interaction",Buy Wheat from a shop
sword_of_hope,sword_of_hope_2,"combat, menu",During battle choose Magic command (submenu opens)
sword_of_hope,sword_of_hope_2,menu,Cast Motion magic from overworld at lvl 2
sword_of_hope,sword_of_hope_2,"menu, interaction",Buy CPR Sword from Weapons Shop via Look-shopkeeper-Buy chain
sword_of_hope,sword_of_hope_2,"combat, menu",Navigate cursor to AUTO command in battle row
sword_of_hope,sword_of_hope_2,interaction,Hit a tree at Riccar Woods [A4] until Wheat is received
sword_of_hope,sword_of_hope_2,"menu, interaction",Open Item submenu and reach the Use action (Item -> Use chain)
sword_of_hope,sword_of_hope_2,"menu, interaction",Use Wheat from inventory
sword_of_hope,sword_of_hope_2,"menu, interaction",View Theo's stats and reach EXP-to-level-up page
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate cursor onto LOOK in command grid
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate cursor onto ITEM in command grid
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate cursor onto OPEN in command grid
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate cursor onto MAGIC in command grid
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate cursor onto HIT in command grid
sword_of_hope,sword_of_hope_2,"menu, navigation",Cycle cursor through all 6 commands in order
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate cursor onto POWER in command grid
sword_of_hope,sword_of_hope_2,"menu, interaction",Open Power stats menu to first stats page (HP/MP)
sword_of_hope,sword_of_hope_2,menu,Open the Magic submenu from exploration
sword_of_hope,sword_of_hope_2,"menu, interaction",Open the Item submenu (inventory view) from exploration
sword_of_hope,sword_of_hope_2,"interaction, menu",Look at the weapons-shop shopkeeper to engage interaction
sword_of_hope,sword_of_hope_2,"menu, interaction",Reach the weapons shop BUY item list from the shopkeeper interaction
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate the cursor onto CPR Sword in the weapons shop item list
sword_of_hope,sword_of_hope_2,"menu, interaction",Open the Use submenu after selecting Wheat in inventory
sword_of_hope,sword_of_hope_2,"menu, interaction",Reach the BUY/SELL choice menu after engaging the weapons shopkeeper
sword_of_hope,sword_of_hope_2,"menu, navigation",Navigate the cursor onto Wheat in the Item submenu
sword_of_hope,sword_of_hope_2,"combat, menu",Navigate the cursor onto CLASH in the battle command row
sword_of_hope,sword_of_hope_2,navigation,Reach Ancient Temple 1F from outside the temple entrance (story event #1)
sword_of_hope,sword_of_hope_2,"menu, reasoning",Open Magic submenu and cancel back to exploration without casting
sword_of_hope,sword_of_hope_2,"menu, reasoning",Open Item inventory submenu and cancel back to exploration
sword_of_hope,sword_of_hope_2,"menu, reasoning",Open shop buy menu and exit without purchasing
sword_of_hope,sword_of_hope_2,"menu, reasoning",Reach weapons shop BUY item list then cancel back to exploration
sword_of_hope,sword_of_hope_2,"menu, reasoning",Look at the weapons-shop shopkeeper then back out without engaging
sword_of_hope,sword_of_hope_2,"combat, navigation",In battle navigate cursor AUTO -> CLASH (reverse selection)
sword_of_hope,sword_of_hope_2,"combat, navigation",In battle navigate cursor CLASH -> AUTO (forward selection)
sword_of_hope,sword_of_hope_2,"menu, interaction, hard",In Magic submenu choose Theo then cursor on Motion spell (lvl-2 overworld spell)
sword_of_hope,sword_of_hope_2,"menu, interaction, hard",In shop buy list cursor on first item entry (full_screen capture)
sword_of_hope,sword_of_hope_2,"menu, interaction, hard",In shop buy list cursor on third item entry (must traverse from first)
